#,Grade,Word,Translation/Notes
129,Serf,To stump off/away,Marcher en tapant fortement du pied et en s'éloignant
130,Serf,Nook,Coin/Recoin
131,Serf,Throes/Throes of something,Affres de quelque chose/Douleur de quelque chose
132,Serf,Tussle,"Prise de bec, querelle, bagarre"
133,Serf,Pantry,Garde-manger
134,Serf,Battering ram,Bélier
135,Serf,Belated,Tardif
136,Serf,To curdle,"Tourner, faire cailler"
137,Serf,To pester (somebody),Harceler (quelqu'un)
138,Serf,Dratted,"Satané, sale"
139,Serf,Ominous,"De mauvais augure, menaçant"
140,Serf,Trodden,"Fréquenté, emprunté (chemin)"
141,Serf,Afield,Dans les champs
142,Serf,Further afield/As far afield as,Aussi loin que
143,Serf,Wayfarer,Voyageur
144,Serf,Disquieting,Troublant
145,Serf,Elm (tree),Orme
146,Serf,As like as not,Probablement
147,Serf,Solemly,Gravement
148,Serf,Leastways,"Du moins, au moins"
149,Serf,Careworn,Accablé de soucis
150,Serf,Tidings,Nouvelles
151,Serf,Trifle,Broutille
152,Serf,Meddling,"Ingérence, intervension, immixtion"
153,Serf,To dabble in something,S'essayer à quelque chose (informel)
154,Serf,To allay (something),"Dissiper, apaiser, calmer des craintes/Soulager une douleur"
155,Serf,Hitherto,Jusqu'ici/Jusqu'à présent/À ce jour
156,Serf,Breech,Derrière (on the breech)/Accouchement par le siège (position du foetus)
157,Serf,Breeches/Britches,Hauts-de-chausses/Culotte
158,Serf,Clasp,Fermoir/Boucle/Étreinte (soutenu)
159,Serf,To clasp (something) [with hand],"Serrer, saisir"
160,Serf,To clasp (something/somebody) [embrace],Étreindre/Serrer dans ses bras (soutenu)
161,Serf,To clasp (something),"Attacher, fermer"
162,Serf,To grope (somebody),Peloter/Tripoter (familier)
163,Serf,To grope,Tâtonner/Chercher à tâtons
164,Serf,To grope for (something),Chercher (galérer à trouver)
165,Serf,Tongs,Pince/Pinces/Fer à friser (ce genre de pince quoi...)
166,Serf,Bristle,Poil
167,Serf,To bristle,Se hérisser (animal)/S'irriter (figuratif)
168,Serf,Shutter,Volet
169,Serf,Fiery,Fougueux/Impétueux/De feu/Explosif/Enflammé/En feu
170,Serf,Quavering,Tremblant/Tremblotant/Chevrotant
171,Serf,Fastness,Stabilité/Résistance/Endroit qui est dur à atteindre
172,Serf,Respite,Répit/Pause
173,Serf,Ripe,Mûr/Bon (moment)
174,Serf,To sully (something),"Entacher, salir, souiller"
175,Serf,To ensnare,Piéger
176,Serf,Wrought,Forgé
177,Serf,To gladden (somebody/something),Rejouir/Rendre heureux
178,Serf,To waylaid,(Figuratif) arrêter (par diversion)/Tenir la jambe à (quelqu'un) (familier)
179,Serf,Lore,Tradition/Connaissance/Coutumes (en gros : sagesse traditionnelle)
180,Serf,Mound,"Tas, pile (débris)/Butte, monticule, tertre/Tas, pile (jouets, vêtements, etc.)"
181,Serf,Crooked,Malhonnête
182,Serf,Chink,Fente/Fissure (avec... de la lumière qui peut s'en échapper ?)
183,Serf,Plainer,"Simple, quelconque/Uni (sans pattern)/Strict, pur"
184,Serf,To sift something,"Tamiser (sucre, farine)/Passer au tamis, passer au crible"
185,Serf,To snivel/To snivel about (something),Pleurnicher/Renifler continuellement/Se plaindre de (quelque chose)
186,Serf,To snarl,Grogner
187,Serf,To snarl (something),Lancer (quelque chose) d'une voix rageuse
188,Serf,Mirk/Murk,Obscurité/Ténébreux (si adjectif)
189,Serf,Ken,Entendement/Savoir (UK)/Connaître (une personne)
190,Serf,To account for (something/someone),Montrer ce qui est arrivé à quelque chose ou quelqu'un/Savoir où quelque chose ou quelqu'un est/Détruire quelque chose ou quelqu'un/Battre quelque chose ou quelqu'un/En connaître le sort
191,Serf,To fling (something) (at) (someone),Lancer (quelquechose) (à) (quelqu'un)
192,Serf,To fling youself,S'élancer/Se jeter
193,Serf,To fling yourself into (something),Se jeter à corps perdu (dans quelque chose)
194,Serf,Fling,Période d'indulgence (a last fling before...)
195,Serf,Dint,Défaut (genre une bosselure sur quelque chose)
196,Serf,Sledgehammer,Masse
197,Serf,Sled/Sledge (US/UK),"Luge, traîneau"
198,Serf,Unscathed,Indemne/Sain et sauf
199,Serf,Anvil,Enclume
200,Serf,Intently,"Attentivement, intensément"
201,Serf,Ember,"Braise, charbon ardent"
202,Serf,Foothold,"Prise/Pied, tremplin (figuré)"
203,Serf,Uprooted,"Déraciner/Déraciné (au sens figuré, arraché de chez soi)"
204,Serf,Pinch,Pincement
205,Serf,To creep,"Ramper/Grimper lentement (to creep up)/Se glisser, se faufiler, avancer discrètement, avancer lentement"
206,Serf,Dart,"Mouvement rapide, précipité/Fléchette"
207,Serf,To spring,Surgir/Bondir/Jaillir
208,Serf,Sill,"Rebord (de fenêtre), appui/Seuil (de porte)/Appui (haut des fondations d'une construction)/Couche rocheuse (filon-couche) en géologie"
209,Serf,To thrust (something/somebody),"Pousser (quelque chose, quelqu'un)"
210,Serf,To thrust (something) on (someone),Imposer (quelque chose) à (quelqu'un)
211,Serf,Squawk,"Cri, braillement (oiseau ou personne : screech)"
212,Serf,To haul (something),"Tirer, porter, traîner/Transporter"
213,Serf,Haul,Prise/Coup de filet
214,Serf,To shear (something),Tondre
215,Serf,Shears,Cisaille(s) (grands ciseaux)
216,Serf,To dither,Hésiter/Se tâter/Être indécis
217,Serf,Portent,"Présage, augure"
218,Serf,Crick (in the neck/in the back),Torticolis/Tour de reins
219,Serf,Laden (with something),"Chargé (de quelque chose), à forte charge, accablé de (figuré)"
220,Serf,To lade (something),"Charger (quelque chose) (load, fill... vieilli et rare)"
221,Serf,Comb,Peigne/Alvéole (d'une ruche)
222,Serf,To comb through (something),Passer au peigne fin/Éplucher (les journaux)
223,Serf,To comb (something) out,Démêler (quelque chose)
224,Serf,To drain (something),"Vider (son verre)/Égoutter/Drainer/Assécher/Vider, épuiser (une ressource)/S'écouter (comme de l'eau)"
225,Serf,To sniff,"Renifler, sentir. A sniff : a quick smell (a sniff of air)"
226,Serf,To plunder (something),Piller (quelque chose)
227,Serf,Plunder,Butin
